round,blockName,Setsize,cueLength,test_ind,test_timeStamp,view_ind,view_timeStamp,1=OldItem,Response,1=correct,viewLoc_index,viewLoc_x,viewLoc_y,viewLoc_row,viewLoc_col,clickLoc_x,clickLoc_y,clickLoc_row,clickLoc_column,Euclidian_distance,imageTypeQuiz,TimeBarLoc_1st,TimeBarLoc_resp,TimeError_RespMinus1stAppear,RT,LapseTimeSinceExpStart,imageID,CanvasHeight,CanvasWidth,curID,curTime,userAgent,windowWidth,windowHeight,screenWidth,screenHeight,duration_ms,d_mTurkID
FIRSTROUNDFULL,Test,50,3000,57,1.65844E+12,0,-1,0,SaidNew,1,18,335.8133333,581.2666667,5,3,-1,-1,-1,-1,-1,[,-1,-1,-1,195045,342472,20,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,58,1.65844E+12,16,1.65844E+12,1,SaidNew,0,5,115.16,708.0933333,6,1,-1,-1,-1,-1,-1,[,32,-1,-1,196259,343686,1,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,59,1.65844E+12,0,-1,0,SaidNew,1,5,115.16,708.0933333,6,1,-1,-1,-1,-1,-1,[,-1,-1,-1,198123,345550,57,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,60,1.65844E+12,21,1.65844E+12,1,SaidOld,1,2,111.16,314.6133333,3,1,752.78125,332.375,3,6,641.8670464,[,42,40.62626314,-1.373736863,200637,348773,62,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,61,1.65844E+12,3,1.65844E+12,1,SaidOld,1,27,483.64,813.92,7,4,714.78125,851.375,7,6,234.1562608,[,6,27.28754042,21.28754042,204270,352673,97,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,62,1.65844E+12,0,-1,0,SaidNew,1,27,483.64,813.92,7,4,-1,-1,-1,-1,-1,[,-1,-1,-1,207450,354877,47,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,63,1.65844E+12,0,-1,0,SaidNew,1,27,483.64,813.92,7,4,-1,-1,-1,-1,-1,[,-1,-1,-1,208831,356259,52,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,64,1.65844E+12,0,-1,0,SaidNew,1,27,483.64,813.92,7,4,-1,-1,-1,-1,-1,[,-1,-1,-1,210094,357521,29,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,65,1.65844E+12,46,1.65844E+12,1,SaidOld,1,29,583.4666667,200.7866667,2,5,734.78125,298.375,3,6,180.0543971,[,92,58.57290825,-33.42709175,211926,360225,39,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,66,1.65844E+12,0,-1,0,SaidNew,1,29,583.4666667,200.7866667,2,5,-1,-1,-1,-1,-1,[,-1,-1,-1,214765,362192,9,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,67,1.65844E+12,10,1.65844E+12,1,SaidOld,1,28,580.4666667,69.96,1,5,753.78125,102.375,1,6,176.3198146,[,20,39.89869644,19.89869644,217179,365297,74,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,68,1.65844E+12,22,1.65844E+12,1,SaidNew,0,34,601.4666667,824.92,7,5,-1,-1,-1,-1,-1,[,44,-1,-1,220111,367538,98,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,69,1.65844E+12,45,1.65844E+12,1,SaidNew,0,18,335.8133333,581.2666667,5,3,-1,-1,-1,-1,-1,[,90,-1,-1,221429,368856,73,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,70,1.65844E+12,41,1.65844E+12,1,SaidOld,1,10,222.9866667,432.44,4,2,318.78125,582.375,5,3,177.9244402,[,82,69.32472716,-12.67527284,223583,371752,46,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,71,1.65844E+12,0,-1,0,SaidNew,1,10,222.9866667,432.44,4,2,-1,-1,-1,-1,-1,[,-1,-1,-1,226634,374062,95,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,72,1.65844E+12,42,1.65844E+12,1,SaidOld,1,15,350.8133333,203.7866667,2,3,319.78125,181.375,2,3,38.2788845,[,84,42.48560024,-41.51439976,228445,376636,87,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,73,1.65844E+12,0,-1,0,SaidNew,1,15,350.8133333,203.7866667,2,3,-1,-1,-1,-1,-1,[,-1,-1,-1,231436,378863,65,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,74,1.65844E+12,44,1.65844E+12,1,SaidOld,1,44,835.12,331.6133333,3,7,871.78125,225.375,2,7,112.3860789,[,88,38.84776677,-49.15223323,233818,382162,7,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,75,1.65844E+12,0,-1,0,SaidNew,1,44,835.12,331.6133333,3,7,-1,-1,-1,-1,-1,[,-1,-1,-1,237003,384430,35,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,76,1.65844E+12,11,1.65844E+12,1,SaidOld,1,25,474.64,561.2666667,5,4,725.78125,686.375,6,6,280.578015,[,22,64.55512328,42.55512328,238808,387006,53,987,987,,,,,,,,,
FIRSTROUNDFULL,Test,50,3000,77,1.65844E+12,36,1.65844E+12,1,SaidOld,1,39,724.2933333,557.2666667,5,6,422.78125,333.375,3,4,375.5489513,[,72,35.53329628,-36.46670372,243408,391442,27,987,987,,,,,,,,,
